"Reviewer_name","Review_title","Rating","Date_of_experience","Review_description"
"darren jone","i booked my flight months ago with","excellent","thirty november twothousandtwentyfour","i booked my flight months ago with Olivia Clark and she was very nice and professional and found us an amazing deal on our flights after she completed the booked she said she would call back the day before a fly and help me check invasive just had her on the phone and has checked me and my wife uni am so grateful for all the assistance and would recommend crystal travel to anyone looking for an amazing travel company thatch goes out of there way to make the experience of traveling more easy thanks once again Olivia crankshafts darner Jones"
"mr john david lloyd","date change","excellent","nine december twothousandtwentyfour","this was the rd or ht time i have used crystal travel bazaar continued my star experience with the agency thank you"
"sarah jame","spoke with Stella","excellent","twelve december twothousandtwentyfour","spoke with Stella really helpful and made the whole experience a breeze"
"mariam k","i have been attended to by a very","excellent","three december twothousandtwentyfour","i have been attended to by a very efficient staff member by the name of SAM Jones my inquiry was dealt with very promptly i will definitely recommend crystal travel to my friends and family i look forward to more future bookings with you"
"andrew","end provided great suggestions and","excellent","twelve december twothousandtwentyfour","end provided great suggestions and support in finding best flight"
"paul","great customer service","excellent","thirteen december twothousandtwentyfour","flared was very efficient and helped me with my booking"
"rajib talukdar","i am very thankful to Claire for her","excellent","thirty november twothousandtwentyfour","i am very thankful to Claire for her help to sort my tickets i am booking a month before she was very supportive and gave me plenty of option to pay for my tickets usually this kind of service we never expect thank you crystal travel for being part of my journey and make it easier simple"
"ali","a big thank you again to the Claire harp","excellent","twentyeight november twothousandtwentyfour","a big thank you again to the crystal travel family and especially Claire your kindness and efforts are truly appreciated and what you would wish to be dealt with by all in any business in the manner of which you provided the service definitely not the first time and surely not the last will be dealing with you again thank you so much"
"norma mckenna","the staff Stella Stevens who assisted","excellent","three december twothousandtwentyfour","the staff Stella Stevens who assisted me today was very polite helpful approachable very efficient she has gone the extra mile i am really pleased with the service so far many thanks"
"mr sze lo","stop misleading customers","below average","thirteen december twothousandtwentyfour","stop misleading customers stop advertising cheaper fares never available always unable to book total bullshit"
"babu ram thapa","excellent service from all the team","excellent","five december twothousandtwentyfour","excellent service from all the team flared Shaw has been exceptionally helpful in sorting out my issues with great patience and understanding thank you all for your excellent service at crystal travels good company and reliable too"
"andrew l","helpful and friendly","excellent","twentyeight november twothousandtwentyfour","i was having problems trying to log in to the china southern web site to select and confirm seats on my upcoming trip from the UK to new Zealand so i called crystal travel and spoke with Freya she was able to resolve my problem within minutes highly recommended thank you"
"bipin bhatt","crystal booking","excellent","seven december twothousandtwentyfour","best and competitive site for the tickets Claire harp made the booking quick easy and wonderful experience very polite and helpful highly recommend"
"david gennard","crystal travel were excellent inserting out my request","good","twentyeight november twothousandtwentyfour","crystal travel were excellent in helping me book seating for my flights to Bangkok with Turkish airliner Donovan especially went out of her way to find seating for me and my wife never used crystal travel before but certainly will in the future"
"khaleda hossain","excellent service","average","two december twothousandtwentyfour","we are very pleased with booking our USA tickets at the final critical moment very friendly and reliable customer service whoever required help ask for James smith very good understanding person just keeping stars save for later after visiting the destination"
"vanessa","amazing service and results","excellent","twentysix november twothousandtwentyfour","i have used crystal travel twice recently and they have found me great flights and deals especially john Morris who was amazing highly recommend using this company especially for multi flight destinations"
"l hatteea","superb company","excellent","two december twothousandtwentyfour","the attendant seed Morgan was superb he was very helpful trying to find better fares for my trip crystal travel is the best fares in ti days search for holidays i recommend them"
"denis","new Zealand","good","twentysix november twothousandtwentyfour","new Zealand i have given this review based on my experience having now booked my surprise flight for my partners Christmas present it taken two days but none stop messaging and phone calls until i had paid has made me mark it down Arron the man for this company called me himself today and was very helpful"
"custom","easy to book to Aron","excellent","twelve december twothousandtwentyfour","easy to book give all i right information am really happy to booked with crystal travel"
"ilya musa","just booked some flights with Lisa and","excellent","two december twothousandtwentyfour","just booked some flights with Lisa and have to say she gave excellent customer service whilst i was somewhat challenging in my request well done"
"bever king","jack was extremely helpful and patient","excellent","twentynine november twothousandtwentyfour","jack was extremely helpful and patient he was polite and listened carefully to ensure the needs of my elderly family member were met i will definitely use crystal travel again"
"paul smart","font bother the fare will not exist","bad","twentyfive november twothousandtwentyfour","i font know why i even tried yet again the fare offered and accepted by me was unavailable after i had filled in all pa details plus payment info it will be front page news when these clowns actually do represent an honest available fare these guys are bait and switch con artists and should be hounded by trading standards avoid"
"lisabarnett","great service","excellent","twentyseven november twothousandtwentyfour","i have booked through crystal travel a few times now and always found it an easy and pleasant experience and having just done so again with Ana helping me and patiently answering questions i am again so happy with the service and help provided went above and beyond to help me book my flights thank you Ana"
"vimi naiko","today i was looking for a better price","excellent","twentyseven november twothousandtwentyfour","today i was looking for a better price ticket searching online luckily i came across crystal travel and rm jack who was on customer service desk he has help me to find the fare that i was looking for and i will definitely say i was very nice talking to him and the service that he provided today was excellent i definitely recommend him next time to all my friends n families"
"karri","thank you to Calvin and christen","good","twentythree november twothousandtwentyfour","id like to thank Calvin for helping me sort out alternative tickets at a similar price when the initial price point tickets were actually sold out but still showing on kayak the only thing is that i thought id have the tickets sent that day but i followed up with christen the next day and she was able to sort that out and waited until i received the email with the tickets before hanging up she also helped with seat requests and special meal requests etc"
"drive safe","i was referred to crystal travel","excellent","twentysix november twothousandtwentyfour","i was referred to crystal travel through a friend who had a great experience so i would really like to share mine i was put through to a gentleman by the name of Aron who was extremely easy to talk to and well mannered he was thoroughly helpful and made the whole experience so easy i would definitely recommend these guys to my friends and family"
"darrel allan","olive Clark was extremely helpful in","excellent","four december twothousandtwentyfour","olive Clark was extremely helpful in sorting out some issues i had with Kenya airways booking particular seats amending my personal information etc and just being very helpful many thanks"
"juli thomson","Olivia Clark was very polite patient and","excellent","thirty november twothousandtwentyfour","Olivia Clark was very polite and helpful with my query she was very patient and update me step by step with the payment process have a great weekend leviathans is my second time using crystal travel agency and please to say i am happy with the service and will recommend to family and friends"
"juliani davi","i am very pleased with the customer","excellent","nineteen november twothousandtwentyfour","i am very pleased with the customer service i received from coronary has been honest and reliable from me making an inquiry to buying my ticket he took his time and confidently explained every step of the process to me at the end i was convinced that Aron could be trusted and i should book my flight with him crystal travel just wish all traveling agents can replicate such honesty and professionalism was able to make my day"
"customecarolyn r","very helpful and polite","excellent","twentynine november twothousandtwentyfour","this young man explained everything made it very easy to understand how crystal travel workshy was also willing and prompt to answer any questions on my flight"
"andrew lindley","friendly efficient service Alfred Shaw was very friendly and","excellent","five december twothousandtwentyfour","flared Shaw was very friendly and efficient in helping us to reserve our seats for our flight to Australia"
"jocelyn","my travel consultant Jose has been","excellent","five november twothousandtwentyfour","my travel consultant Jose has been fantastic in assisting me with all my travel needs he gives me prompt answers to all my queries crystal travel offers a wide variety of flight options you can choose from"
"ricardo de vera","the customer service lady from crystal","excellent","four december twothousandtwentyfour","the customer service lady from crystal named Stella is so helpful and very patient guiding me all throughout my booking i would love to book in future same like her"
"ami","very happy","excellent","twentyseven november twothousandtwentyfour","been using crystal travel in most of my travels going home to the Philippines AMD they have always been very helpful and a very trusted travel company Ana shift and Candice were very helpful and sorted out all my requirements for my recent travel home thank you and keep up the good works ladies god bless you"
"roy app","great experience booking flights","excellent","twentyfive november twothousandtwentyfour","great experience booking flights with crystal travel and special thanks to Ryan smith who done the booking smoothly hassle free we regularly use crystal travel to book our flights and very happy with service"
"mrs editha bautista","Freya was very accommodating and","excellent","twentyseven november twothousandtwentyfour","thank you so much Jerry and Freya for assisting us with our flights and for responding to my queries without any hesitation we are happy that we have booked our flights with crystal travel"
"joann unsworth","had a question regarding my tickets","excellent","five december twothousandtwentyfour","had a question regarding my tickets and Caroline sorted it out for me even made a call back to see if i was happy with the answer"
"mr g mew","helpful service","excellent","thirty november twothousandtwentyfour","have booked with them a few times without any issues and have also found them helpful with regards choice of seats when the connection time is short"
"eduardo concimino","mi thankful with staff of crystal","excellent","thirty november twothousandtwentyfour","mi thankful with staff of crystal travel especially crusty she did a wonderful job and attended to my concern very friendly and polite"
"play list blagrov","i was assisted by Stella she was warm","excellent","two december twothousandtwentyfour","i was assisted by Stella she was warm welcoming and gave me proper assistant great work that is why i use crystal travel for past thanks Stella"
"eleni","very helpful company called the company to book tickets to","good","twentyseven november twothousandtwentyfour","called the company to book tickets to la and was met with some extremely helpful staff looking forward to traveling next year with out any problems thank you crystal travel"
"sunni osagi","i really want to appreciate Freya","excellent","six december twothousandtwentyfour","i really want to appreciate Freya Donovan for the row he played getting my ticket thanks so much and thanks to crystal travel for making it possible my first time and you guys did a great job looking forward to another great business with you guys god bless"
"aim patrick nishimw","he helped me in a professional way","excellent","nine december twothousandtwentyfour","he helped me Ina professional way well done rm Sergio"
"ng","dedication and patience","excellent","nineteen november twothousandtwentyfour","Aron did a great job for me in getting a place for my return flight his patience in getting my payment through when my credit card was blocked by my provider it took me a long time to phone UK from Australia to get it unblocked i greatly appreciate his dedication to see that all is done well"
"david","booked again","excellent","twentyeight november twothousandtwentyfour","this is the third time vie booked through crystal travel today i spoke to Ana who was professional and patient my system was slow helpful and courteous would recommend them"
"sulia olabod","outstanding service and professionalism","excellent","twentysix november twothousandtwentyfour","excellent communication and highly professional agents a special thanks to James smith Freya Donovan and the rest of the team who helped make this booking a smooth process for me"
"atalia moyo","flared we helpful in answering my questions","excellent","six december twothousandtwentyfour","flared we helpful in answering my questions and sorting out the issues on my booking"
"hardev","helpful Ronald","excellent","twentyone november twothousandtwentyfour","Ronald did a great job from finding tickets to make me understand everything he made sure i understood and worked with the names he was very patient when payment was not going through tried different ways and it was success at last thanks Ronald for everything especially your patience h s gill"
"bishnu gurung","i am happy with the service provided by","excellent","ten december twothousandtwentyfour","i am happy with the service provided by Carolina accustomed services consultant"
"peter hay","as always excellent and courteous","excellent","seven november twothousandtwentyfour","as always excellent and courteous dealings with Ronald of crystal travel my wife have never been let down by this company for us they always come up trumpeter peter"
"doreen","john Morris was very helpful to get us","good","twenty november twothousandtwentyfour","john Morris was very helpful to get us a very good price for a flight and john was always friendly when speaking to to him on the phone keep it up john"
"lipuleni doreen mclari","it is my first time using crystal","excellent","twentysix november twothousandtwentyfour","it is my first time using crystal travel i have to mention that i got excellent service from Stella Stevens everything was well explained to me i will definitely make use of them again and will recommend them to my friends and family thanks"
"janefr ezeh","thank you Stella Stevens","excellent","twentyfive november twothousandtwentyfour","i would really like to say a big thank you to Stella Stevens for the wonderful service she rendered to me today very professional and helpful do recommend crystal travel any day any time"
"saira patel","Claire harp was very good and","excellent","twentytwo november twothousandtwentyfour","Claire harp was very good and professional from the time she called me and completed my booking for the past year vie made all my bookings with crystal travel and mi satisfied with the service"
"kenneth","flared restored my faith in crystal travel","good","twenty november twothousandtwentyfour","initially i found the website was rubbish and whenever i tried to get hold of customer service i got a recorded message saying no one was available goodbye eventually by clicking as if i wanted to buy a ticket i got through to flared Shaw who was most helpful and stayed on the line until he had sorted my problem no receipt for payment or ticket references thanks flared before i got through to him i was beginning to think it was a scam but he restored my faith in a company i had used before"
"amina ahm","Claire has been very helpful and","excellent","sixteen november twothousandtwentyfour","Claire has been very helpful and amazing she went above and beyond to find my family the right flight ticket she provided high level of customer service shes a asset to the company thank you Claire"
"mr","flight to Thailand","excellent","twentynine november twothousandtwentyfour","i have had many interactions with Carolina ditz at crystal travel booking my flight to Thailand for Christmas she has been very helpful and informative throughout thank you"
"mare cabrera","Stella Stevens was very helpful","excellent","nine december twothousandtwentyfour","Stella Stevens was very helpful professional and has provided an excellent service"
"bukki martin","flared Shaw was very helpful","excellent","thirteen december twothousandtwentyfour","flared Shaw was very helpful"
"custom","i spoke with agents today but the","excellent","thirty november twothousandtwentyfour","i spoke with agents today but the way Aron has handled my query and has helped finding the right flight for myself was amazing he was very helpful kind and polite"
"jack burl","Paul is the best man for you","excellent","twentyfour november twothousandtwentyfour","was really helped out by a sales associate by the name Paul he was a real class act font listen to other reviewers Paul is the main man"
"jb jb unit kingdom","very good service","excellent","twentyone november twothousandtwentyfour","ironware overboard to attend to my requirements was very pleased with his attentiveness his efficiency and overall help generally it seemed effortlessly without complication or drama to conclude look forward to doing business again in the near future with carryover pleasant and helpful guy highly recommended for his expertise and patience"
"jonathan unimk","Jose was excellent in booking flight","excellent","twentynine november twothousandtwentyfour","Jose was excellent in booking flight with i recommend him please work with him one thing i like him even work at midnight even at time of troubles he will assist he is very helpful thanks Jose"
"christoph jame","once again crystal travel gave there","excellent","twentyseven november twothousandtwentyfour","once again crystal travel gave there superb service as usual kind supportive and an excellent price many thanks to Jerry Wilson a credit to your company"
"billi","very quick response with my issue","excellent","six december twothousandtwentyfour","i called with an issue but it was resolved very quickly by Freya very good service"
"gari like","christen was wonderful in sorting out my","excellent","nine december twothousandtwentyfour","christen was wonderful in sorting out my issue"
"fawzia say","Aron always book my flight and my","excellent","twelve december twothousandtwentyfour","Aron always book my flight and my wheelchair he is a v good staff"
"mrs rashmi niru","i booked my ticket with christian","excellent","twentyone november twothousandtwentyfour","i booked my ticket with christian travel Carolina ditz updated me new schedule i font have to worry about anything there staff does everything for you thanks christian travel for lovely customer service"
"rab dickson","robbery travel rep very informative","excellent","twentytwo november twothousandtwentyfour","my travel rep very informative Olivia Clark nothing was true much trouble for her was not sure about online check in helped very well book me with quasar airline very good flights service very good thank you again Olivia Clark Edinburgh to Philippines"
"irin navarra","great consultant","excellent","thirty november twothousandtwentyfour","i am so grateful to booked our flight to crystal travel they are willing to help and assist you and easy or deal with can highly recommend this travel agency"
"abbey abolaji","crystal travel is excellent and the person who attended to me was so amazing Olivia clerk was brilliant","excellent","nine december twothousandtwentyfour","crystal travel is excellent and the person who attended to me"
"jip","flared is given an excellent devices","excellent","twentyone november twothousandtwentyfour","flared is given an excellent devices very helpful very polite and patient went out of his way to make sure my flight booking went without problems even after the flights paid and booked next flight i fly ill surly ask to deal with him again"
"sohail moham","outstanding service ticket booking is","excellent","twentyone november twothousandtwentyfour","outstanding service ticket booking is quick and simple and customer service is excellent and friendly thank you recap you are doing a great job thank you so hail"
"aidan","the advisor flared was brilliant","excellent","twentythree november twothousandtwentyfour","the advisor flared was very useful and did what i asked without compromise i will use crystal travel again and would recommend the service to my friends"
"mr mark pedler","great service and keeps me up to date","excellent","four december twothousandtwentyfour","great service and keeps me up to date with my booking"
"waseem mohi","fantastic and polite service","excellent","three december twothousandtwentyfour","fantastic and polite service very impressed by them overall especially Ronald and Stella seem"
"cari","costumer service received from john","excellent","twelve december twothousandtwentyfour","costumer service received from john Morris was excellent"
"imc ricoh","excellent service Claire thank you for","excellent","thirty november twothousandtwentyfour","excellent service Claire thank you for sorting out my flight for next year"
"sahil khular","got a great deal for Canada tickets","excellent","twenty november twothousandtwentyfour","got a great deal for Canada tickets jack from crystal travel helped us through out the process"
"billi","they keep on spamming even after poor reviews","bad","twentysix november twothousandtwentyfour","they continue to spamming left a star review before due to them not unsubscribing updated Jan and they've confirmed i am not on their mailing list but i continue to receive email from them font know what to do to make them stop they clearly font care its not a mistake getting spammed every day even after unsubscribing sort it out you know fine well what my email address is as a reminder here is an email you sent on rd January with a screenshot saying my email was unsubscribed you have an absolute cheek to ask me to retract my review it stands and so does this one dear billy greetings from crystal travel hope this email finds you wellie manually unsubscribed you from our mailing list in light of recent events we have also recently noted your star review on trust pilot and we appreciate you taking the time to share your feedback with use understand that you have unsubscribed from our offer emails and we apologize for any inconvenience this may have caused we sincerely value your opinion and want to ensure that your experience with us is a positive one with this in mind we kindly request that you consider removing or updating your review based on any recent inconvenience you may have encountered your feedback is crucial to us and we are committed to using it to enhance our services for all our passengers thank you for your attention to this matter we look forward to the possibility of improving your perception of our services and regaining your trust team crystal travel"
"mel banag","Carolina was so helpful and did all the","excellent","twentyseven november twothousandtwentyfour","Carolina was so helpful and did all the queries i asked and confirmed my flight details thank you so much"
"consum","Claire harp is an outstanding employer","excellent","twentyseven november twothousandtwentyfour","Claire harp is an outstanding employer she is patient diligent very caring towards her customer she is an asset to the organization"
"grasiana","helpful tips and advice given and final","excellent","twentynine november twothousandtwentyfour","helpful tips and advice given by Jose and final decisions made about the trip"
"lola abraham","excellent customer service","excellent","twentysix november twothousandtwentyfour","excellent customer service prompt booking and delivery of ticket Jose was very respectful and have an excellent communication skills to deliver satisfactory customer services mi happy he was able to help with my booking thank you Jose"
"mainuddin talikoti","carols was amazing person","excellent","twentyeight november twothousandtwentyfour","carols was amazing person helped me so quickly and there was no delay in call respond trust to crystal travel"
"felilia alpuerto","Carolina was very helpful i done what i","good","five december twothousandtwentyfour","Carolina was very helpful i done what i need to do today thank you"
"annabel magpantay","Freya is truly very helpful to mesh","excellent","five december twothousandtwentyfour","Freya is truly very helpful to mesh is trying to find a good solution specially about the seats that i want and not only that she is also nice and kind to me"
"lee holm","help out in a bad situation really","excellent","twentyseven november twothousandtwentyfour","help out in a bad situation really helpful definitely be using these again"
"efosa osagi","Olivia was fantastic","excellent","one december twothousandtwentyfour","Olivia was fantastic made every effort to give me the best excellent job"
"shashi chaturvedi","flared Shaw was very helpful and","excellent","three december twothousandtwentyfour","flared Shaw was very helpful and professional solved my issue thanks"
"louis stileman","flared Shaw was very helpful","excellent","twentynine november twothousandtwentyfour","flared Shaw was very helpful i could not access my booking on the emirates and was anxious but flared checked in for me very helpful thank you"
"elizabeth mercurio","Olivia Clark","excellent","six november twothousandtwentyfour","i was assisted by Olivia Clark she was very helpful and managed to email me the ticket i needed and confirmed the wheelchair for my mother"
"martin fri","thanks to flared Shaw for his help in","excellent","twentyeight november twothousandtwentyfour","thanks to flared Shaw for his help in solving my wife booking confirmation and seat allocation much appreciated martin fry"
"anil lomit","very friendly and kind agent","excellent","twentynine november twothousandtwentyfour","very friendly and kind agent contacted me to sort out my query and confirmed rescheduling my flight"
"deborah martin","excellent customer service","excellent","thirty november twothousandtwentyfour","the customer service officer was really patient and kind to help book my flight"
"shakur muyaba","talked to rm cartoonist was very very","excellent","six december twothousandtwentyfour","talked to rm cartoonist was very very polite and helpful"
"mr evan oppong","christen was very very helpful","excellent","thirty november twothousandtwentyfour","christen was very very helpful was able to confirm my mum traveling and details and all the relevant assistance she will need during the traveling"
"steven jarvi","the staff are great Olivia and Catalina","excellent","twentysix november twothousandtwentyfour","the staff are great Olivia and Catalina were most helpful today very professional will be using the company again"
"consum","it was great serving and fast with","excellent","ten december twothousandtwentyfour","it was great serving and fast with carols Silva thank you so much"
